edad,hora_lectura_preferida,velocidad_lectura,engagement_promedio,valence_musical_pref,energia_musical_pref,contenido_visual_pref,genero_libro_rec,tipo_vino_rec,genero_musical_rec,genero_serie_rec
27,manana,alta,0.85,0.51,0.69,series largas,ciencia ficcion,espumoso,electronica,ciencia ficcion
18,tarde,media,0.88,0.75,0.55,documentales,fantasia,afrutado,electronica,comedia
26,tarde,alta,0.85,0.57,0.65,documentales,fantasia,afrutado,pop,ciencia ficcion
32,tarde,media,0.89,0.61,0.54,peliculas,fantasia,dulce,reggaeton,ciencia ficcion
21,noche,alta,0.86,0.6,0.74,documentales,ciencia ficcion,seco,electronica,ciencia ficcion
32,noche,baja,0.65,0.76,0.67,series largas,fantasia,seco,pop,comedia
24,tarde,media,0.95,0.52,0.47,series largas,fantasia,seco,pop,accion
37,manana,media,0.81,0.56,0.53,series largas,ciencia ficcion,seco,reggaeton,terror
49,manana,baja,0.52,0.49,0.46,documentales,no ficcion,seco,jazz,drama
33,manana,alta,0.88,0.46,0.66,series largas,thriller,dulce,rock,terror
39,manana,baja,0.67,0.52,0.36,documentales,no ficcion,bajo en acidez,jazz,drama
29,manana,alta,0.82,0.45,0.75,series largas,thriller,espumoso,reggaeton,ciencia ficcion
28,tarde,alta,0.66,0.72,0.77,anime,fantasia,afrutado,reggaeton,comedia
50,noche,alta,0.58,0.49,0.47,peliculas,no ficcion,seco,jazz,drama
43,tarde,baja,0.52,0.45,0.53,documentales,no ficcion,seco,reggaeton,drama
18,tarde,media,0.57,0.49,0.33,peliculas,no ficcion,seco,jazz,drama
27,noche,media,0.84,0.83,0.51,peliculas,romance,afrutado,pop,comedia
38,manana,media,0.63,0.33,0.43,anime,no ficcion,dulce,jazz,drama
27,tarde,alta,0.82,0.78,0.72,peliculas,fantasia,seco,pop,comedia
29,noche,media,0.78,0.89,0.37,peliculas,romance,afrutado,electronica,comedia
44,manana,alta,0.9,0.57,0.52,anime,ciencia ficcion,bajo en acidez,reggaeton,drama
24,tarde,alta,0.94,0.56,0.71,documentales,thriller,dulce,electronica,accion
30,noche,alta,0.75,0.73,0.54,peliculas,romance,seco,pop,accion
20,noche,alta,0.98,0.53,0.66,anime,ciencia ficcion,seco,electronica,accion
19,manana,media,0.7,0.53,0.27,series cortas,romance,bajo en acidez,jazz,drama
18,tarde,media,0.57,0.8,0.41,documentales,romance,afrutado,reggaeton,comedia
39,noche,alta,0.95,0.27,0.75,series cortas,thriller,espumoso,rock,ciencia ficcion
44,manana,media,0.44,0.43,0.34,series largas,no ficcion,dulce,jazz,drama
18,tarde,media,0.65,0.18,0.57,anime,no ficcion,dulce,rock,terror
34,noche,media,0.79,0.52,0.5,documentales,no ficcion,bajo en acidez,electronica,drama
25,manana,media,0.73,1.0,0.52,series largas,romance,afrutado,pop,comedia
